loyalty_number,loyalty_card,education,gender,total_flights_lifetime,total_distance_km,total_points_earned,total_points_used,avg_salary,total_activity_periods
614377,Star,College,Female,10,19404,19404.0,0,73262.0,24
817066,Nova,College,Male,41,66876,66876.0,0,73262.0,24
164017,Aurora,Doctor,Female,21,26913,26913.0,2461,80926.0,24
715668,Star,High School Or Below,Female,2,1396,1396.0,0,73845.0,24
960708,Nova,College,Male,38,55220,55220.0,1218,73262.0,24
128475,Aurora,Bachelor,Female,26,31986,31986.0,1212,99724.0,24
217497,Nova,Bachelor,Male,0,0,0.0,0,72359.0,24
937862,Nova,Bachelor,Female,33,48803,48803.0,516,92826.0,24
582066,Star,Bachelor,Female,35,53958,53958.0,723,97363.0,24
194009,Aurora,Bachelor,Female,25,40979,40979.0,0,104352.0,24
407008,Nova,Bachelor,Male,2,4097,4097.0,0,104968.0,24
798752,Star,High School Or Below,Male,28,35900,35900.0,616,80919.0,24
936044,Nova,Bachelor,Female,0,0,0.0,0,57587.0,24
478284,Aurora,Bachelor,Male,5,8167,8167.0,378,62244.0,24
358020,Star,Doctor,Female,33,45021,45021.0,772,245769.0,24
200663,Aurora,College,Female,10,16884,16884.0,0,73262.0,24
803956,Nova,College,Male,47,62078,62078.0,773,73262.0,24
342407,Star,Bachelor,Male,36,58675,58675.0,0,64489.0,24
483747,Aurora,Bachelor,Female,18,24820,24820.0,475,64496.0,24
268789,Nova,College,Male,36,48125,48125.0,678,73262.0,24
302198,Star,Bachelor,Male,42,54460,54460.0,901,85949.0,24
394213,Nova,Bachelor,Male,10,14446,14446.0,687,55590.0,24
712590,Nova,Bachelor,Male,43,46433,60969.0,0,46029.0,11
630920,Star,Bachelor,Female,47,57319,81078.0,0,48081.0,11
801738,Aurora,Bachelor,Female,41,67586,85953.0,352,67299.0,11
456177,Star,Bachelor,Female,54,70370,105555.0,0,95165.0,11
547342,Star,Bachelor,Male,62,74400,99555.0,1072,81266.0,11
481457,Star,Master,Female,23,37540,56310.0,0,91477.0,11
190827,Star,College,Female,17,28335,28335.0,0,73262.0,24
292084,Star,Bachelor,Female,38,52773,52773.0,1703,76887.0,24
783610,Nova,Bachelor,Male,12,17557,17557.0,0,47297.0,24
668624,Aurora,Bachelor,Male,29,43520,43520.0,1246,54026.0,24
655995,Aurora,Bachelor,Male,0,0,0.0,0,57139.0,24
800945,Aurora,Master,Male,0,0,0.0,0,111106.0,24
137744,Star,Bachelor,Male,18,24258,24258.0,0,55110.0,24
798871,Nova,High School Or Below,Male,40,55558,55558.0,1080,45384.0,24
426530,Star,Bachelor,Male,33,55967,55967.0,1180,77190.0,24
500060,Star,Bachelor,Male,45,70451,70451.0,1235,91978.0,24
771056,Aurora,Bachelor,Female,40,62851,62851.0,1989,56639.0,24
664034,Star,College,Male,25,37510,37510.0,1483,73262.0,24
662880,Nova,Bachelor,Female,45,61292,61292.0,710,81290.0,24
800481,Nova,Doctor,Female,27,42327,42327.0,467,213105.0,24
693138,Aurora,Bachelor,Male,40,67524,67524.0,1585,82358.0,24
600664,Star,Bachelor,Female,57,80599,80599.0,1209,60416.0,24
355781,Star,College,Male,0,0,0.0,0,73262.0,24
275413,Star,Bachelor,Female,67,101731,148848.0,1057,88055.0,11
839527,Star,Bachelor,Male,30,44165,44165.0,383,57510.0,24
150883,Star,College,Male,50,73171,73171.0,1474,73262.0,24
829627,Nova,Bachelor,Female,33,38093,38093.0,506,69342.0,24
436235,Aurora,Bachelor,Male,27,51367,51367.0,1473,54961.0,24
348718,Star,College,Male,0,0,0.0,0,73262.0,24
221709,Aurora,Bachelor,Female,0,0,0.0,0,54009.0,11
712062,Star,Doctor,Male,27,35255,35255.0,0,269011.0,24
902690,Star,Bachelor,Male,31,43862,43862.0,1273,68363.0,24
660030,Aurora,College,Female,53,61744,61744.0,2028,73262.0,24
206914,Star,Bachelor,Male,44,64158,64158.0,975,68957.0,24
329446,Nova,Bachelor,Female,0,0,0.0,0,67036.0,24
830071,Star,Bachelor,Male,8,12481,12481.0,0,85338.0,24
838771,Star,Bachelor,Male,31,46444,46444.0,0,84291.0,24
963985,Star,College,Female,33,48840,48840.0,364,73262.0,24
345959,Aurora,Bachelor,Male,2,2788,2788.0,0,76485.0,24
996900,Aurora,Master,Female,46,76092,76092.0,1281,81640.0,24
558686,Nova,Bachelor,Female,43,62293,62293.0,474,59417.0,24
336539,Aurora,Doctor,Female,46,77622,77622.0,1025,210090.0,24
511568,Star,College,Male,40,64758,64758.0,1397,73262.0,24
850092,Nova,College,Female,28,34929,34929.0,1921,73262.0,24
845488,Aurora,College,Male,19,26020,26020.0,1202,73262.0,24
450621,Star,Bachelor,Female,24,28677,28677.0,407,77083.0,24
428922,Aurora,Master,Female,36,54431,54431.0,892,89964.0,24
391927,Aurora,Bachelor,Female,45,69548,69548.0,2557,71490.0,24
893574,Nova,Bachelor,Male,19,16158,16158.0,351,49482.0,24
142371,Aurora,Bachelor,Male,35,52176,52176.0,1289,57150.0,24
262683,Star,Bachelor,Male,24,35055,35055.0,1220,90874.0,24
820187,Aurora,College,Female,0,0,0.0,0,73262.0,24
221775,Aurora,College,Male,39,49938,49938.0,0,73262.0,24
800726,Star,Bachelor,Female,39,47349,47349.0,1189,90071.0,24
377489,Star,College,Male,20,30265,30265.0,965,73262.0,24
467926,Nova,College,Female,41,63351,63351.0,1174,73262.0,24
857292,Star,Bachelor,Male,34,60585,60585.0,515,85587.0,24
139532,Star,High School Or Below,Male,28,39057,39057.0,1184,72896.0,24
490387,Nova,Bachelor,Female,0,0,0.0,0,91250.0,24
250696,Aurora,Bachelor,Female,29,43945,43945.0,1135,77619.0,24
835377,Nova,Bachelor,Female,24,34523,34523.0,2086,95979.0,24
241391,Aurora,College,Male,32,48360,48360.0,409,73262.0,24
842835,Aurora,Bachelor,Female,0,0,0.0,0,48521.0,24
753987,Star,Master,Male,43,62615,62615.0,944,94440.0,24
534452,Star,College,Male,41,58066,58066.0,589,73262.0,24
123094,Star,Bachelor,Female,24,33723,33723.0,337,92223.0,24
124377,Nova,College,Male,1,1509,1509.0,0,73262.0,24
105063,Star,Doctor,Male,27,40695,51588.0,0,236405.0,11
736258,Star,College,Male,3,7308,7308.0,0,73262.0,24
636017,Star,Bachelor,Female,20,22789,22789.0,0,82242.0,24
885933,Nova,Master,Male,32,40899,40899.0,1118,128352.0,24
421191,Star,Bachelor,Female,54,87404,87404.0,344,76367.0,24
189613,Aurora,College,Female,8,12387,12387.0,0,73262.0,24
529988,Nova,Master,Female,0,0,0.0,0,83773.0,24
228984,Star,Bachelor,Male,31,48466,48466.0,1509,57254.0,24
329039,Nova,Bachelor,Female,42,64346,64346.0,0,87032.0,24
756515,Star,Bachelor,Male,45,46408,46408.0,355,77622.0,24
667615,Star,Master,Female,23,35685,35685.0,0,105231.0,24
798832,Star,Doctor,Male,30,46238,46238.0,0,199894.0,24
363866,Nova,Master,Female,8,11097,11097.0,0,128118.0,24
517267,Star,College,Female,25,37981,37981.0,0,73262.0,24
197973,Nova,College,Female,16,19360,19360.0,543,73262.0,24
696128,Aurora,Bachelor,Female,51,94821,94821.0,923,91471.0,24
921410,Star,Bachelor,Male,0,0,0.0,0,67604.0,24
583003,Nova,College,Male,15,19276,19276.0,1284,73262.0,24
562510,Aurora,Bachelor,Male,12,16688,16688.0,0,74745.0,24
828109,Nova,Bachelor,Female,44,91764,137646.0,568,74049.0,11
731593,Nova,Bachelor,Female,40,51974,51974.0,1031,55909.0,24
714825,Nova,Bachelor,Male,32,55479,55479.0,669,64035.0,24
733324,Star,Bachelor,Female,28,36021,36021.0,954,58725.0,24
216517,Aurora,Bachelor,Male,44,65178,65178.0,674,94365.0,24
683503,Aurora,Bachelor,Male,45,73801,73801.0,1540,59372.0,24
327285,Aurora,Bachelor,Female,33,57181,57181.0,1704,84165.0,24
764167,Star,College,Male,47,70283,70283.0,556,73262.0,24
605926,Star,Bachelor,Female,38,53400,53400.0,786,57022.0,24
159486,Nova,College,Male,19,32654,32654.0,0,73262.0,24
834066,Nova,College,Male,23,38984,38984.0,574,73262.0,24
423119,Nova,Bachelor,Female,20,28565,28565.0,0,57033.0,24
976413,Nova,College,Male,46,57838,57838.0,1215,73262.0,24
631200,Nova,Bachelor,Male,22,35957,35957.0,1170,103948.0,24
979575,Star,College,Male,45,83697,83697.0,0,73262.0,24
198900,Star,Bachelor,Female,28,40437,40437.0,499,63991.0,24
397706,Star,College,Male,33,40540,40540.0,994,73262.0,24
693852,Aurora,Bachelor,Male,44,59017,59017.0,2877,61668.0,24
939856,Aurora,Bachelor,Female,17,23645,23645.0,509,59310.0,24
779066,Aurora,Bachelor,Male,54,74878,74878.0,1137,101933.0,24
467401,Nova,Bachelor,Male,22,33474,33474.0,0,90548.0,24
261426,Nova,Bachelor,Male,8,7738,7738.0,934,67680.0,24
572066,Star,Doctor,Female,12,14502,14502.0,983,227303.0,24
653973,Star,College,Male,26,37076,37076.0,0,73262.0,24
931622,Star,Bachelor,Male,21,30729,30729.0,621,55321.0,24
256821,Nova,Bachelor,Male,8,12242,12242.0,850,69872.0,24
661054,Star,High School Or Below,Male,36,51372,51372.0,0,66341.0,24
757547,Nova,Bachelor,Female,47,71845,71845.0,0,59169.0,24
992985,Nova,High School Or Below,Female,36,56754,56754.0,1274,59061.0,24
743257,Star,College,Female,0,0,0.0,0,73262.0,24
636505,Star,Bachelor,Female,28,45297,45297.0,2101,51831.0,24
119633,Aurora,Bachelor,Male,32,44471,44471.0,753,53166.0,24
440209,Star,Bachelor,Female,25,38607,38607.0,0,73864.0,24
214995,Nova,Bachelor,Male,35,37013,37013.0,907,59621.0,24
605184,Star,High School Or Below,Female,30,43680,43680.0,732,67944.0,24
711577,Aurora,Bachelor,Female,35,45934,45934.0,1296,50723.0,24
292049,Aurora,Bachelor,Female,37,50327,50327.0,541,76645.0,24
140769,Nova,Master,Female,0,0,0.0,0,88418.0,24
821202,Star,Doctor,Female,47,82111,82111.0,457,267238.0,24
816763,Star,College,Female,26,36296,36296.0,556,73262.0,24
327163,Star,Bachelor,Female,32,45468,45468.0,718,95448.0,24
770362,Nova,College,Male,13,16621,16621.0,0,73262.0,24
140208,Star,Master,Male,47,71592,71592.0,0,123841.0,24
833701,Star,College,Male,34,49776,49776.0,1076,73262.0,24
948325,Nova,Bachelor,Male,23,24425,24425.0,532,62620.0,24
793995,Nova,Bachelor,Female,42,70832,70832.0,1342,98023.0,24
852597,Nova,Bachelor,Female,39,59275,59275.0,793,70530.0,24
277367,Nova,Bachelor,Male,36,43898,43898.0,378,92582.0,24
815498,Star,Bachelor,Male,42,75494,75494.0,706,49355.0,24
612650,Aurora,College,Female,21,35085,35085.0,323,73262.0,24
427329,Aurora,Bachelor,Male,32,45134,45134.0,316,81031.0,24
116164,Aurora,Bachelor,Female,9,15501,15501.0,1516,101599.0,24
434693,Star,Bachelor,Female,16,21347,21347.0,0,72615.0,24
680379,Star,Bachelor,Female,29,42642,42642.0,990,63654.0,24
262467,Star,Bachelor,Female,44,83138,83138.0,1525,92646.0,24
349730,Nova,Doctor,Male,55,74971,74971.0,1740,279093.0,24
133730,Star,Bachelor,Male,35,47173,47173.0,1441,86484.0,24
776830,Aurora,Bachelor,Male,0,0,0.0,0,47545.0,24
322169,Aurora,Bachelor,Male,46,57292,57292.0,828,81078.0,24
958299,Star,College,Female,24,41953,41953.0,1352,73262.0,24
990947,Star,Bachelor,Female,0,0,0.0,0,76501.0,24
934212,Star,Bachelor,Female,30,45029,45029.0,1320,57022.0,24
296626,Nova,Bachelor,Male,41,69700,69700.0,529,61248.0,24
266884,Star,Doctor,Male,0,0,0.0,0,65018.0,24
541040,Nova,Bachelor,Female,13,15751,15751.0,615,100558.0,24
231084,Nova,Bachelor,Female,39,58998,58998.0,444,99090.0,24
299359,Aurora,Bachelor,Female,36,50117,50117.0,1676,61641.0,24
726544,Aurora,Bachelor,Male,18,17674,17674.0,0,55513.0,24
295884,Nova,College,Male,45,52389,52389.0,928,73262.0,24
101547,Star,College,Female,17,32918,32918.0,576,73262.0,24
821010,Nova,Bachelor,Male,51,90255,90255.0,943,94934.0,24
537421,Nova,Bachelor,Male,43,57656,57656.0,2260,85761.0,24
717780,Nova,Bachelor,Female,34,55068,55068.0,1534,88516.0,24
498897,Nova,Bachelor,Female,22,40387,40387.0,477,72571.0,24
699281,Aurora,Bachelor,Female,12,19286,19286.0,0,82037.0,24
932233,Nova,Bachelor,Male,51,81542,122313.0,379,103424.0,11
768365,Star,Bachelor,Female,39,53627,75747.0,346,81475.0,11
417274,Star,College,Male,45,72855,102132.0,638,73262.0,11
415915,Nova,College,Male,39,46413,65952.0,448,73262.0,11
255475,Nova,College,Male,63,85889,85889.0,366,73262.0,24
969378,Aurora,Bachelor,Female,28,32209,32209.0,582,81396.0,24
333051,Aurora,Bachelor,Male,8,11368,17052.0,0,93849.0,11
468945,Star,College,Female,46,76408,76408.0,1687,73262.0,24
500767,Star,Doctor,Male,47,72847,72847.0,1280,261234.0,24
479278,Nova,College,Male,41,66280,66280.0,927,73262.0,24
896792,Aurora,Bachelor,Female,46,49625,49625.0,1421,94657.0,24
716589,Nova,Bachelor,Female,17,22647,22647.0,0,59169.0,24
505179,Nova,College,Female,20,33599,33599.0,0,73262.0,24
148486,Nova,Bachelor,Male,30,54709,54709.0,2010,97100.0,24
612742,Nova,Bachelor,Female,0,0,0.0,0,54825.0,24
157092,Star,College,Male,43,60297,60297.0,754,73262.0,24
563076,Nova,Bachelor,Male,37,57282,57282.0,0,80596.0,24
310700,Star,Bachelor,Female,57,94494,94494.0,386,69595.0,24
513123,Aurora,Bachelor,Male,33,46465,46465.0,300,68366.0,24
411690,Star,High School Or Below,Female,41,55710,55710.0,1276,55043.0,24
891903,Star,Bachelor,Male,21,28989,28989.0,0,58100.0,24
647491,Star,College,Male,46,70130,70130.0,2119,73262.0,24
119519,Nova,Bachelor,Female,32,56036,56036.0,1444,81276.0,24
977916,Star,Bachelor,Male,44,72028,72028.0,1328,98009.0,24
764889,Nova,Bachelor,Male,29,43119,43119.0,608,72019.0,24
254853,Aurora,Bachelor,Male,22,33579,33579.0,427,67709.0,24
767507,Aurora,Bachelor,Male,29,44572,44572.0,1033,74601.0,24
208485,Star,Bachelor,Male,57,92954,92954.0,0,66226.0,24
906316,Star,Bachelor,Male,45,67211,67211.0,2753,54363.0,24
615673,Star,Master,Male,36,50818,50818.0,2252,123828.0,24
924405,Star,College,Male,9,18297,18297.0,453,73262.0,24
113874,Nova,College,Female,42,78775,110895.0,0,73262.0,11
321762,Nova,College,Male,28,46564,46564.0,1055,73262.0,24
346925,Nova,High School Or Below,Female,32,49212,49212.0,505,48085.0,24
816110,Star,Master,Male,46,68279,68279.0,0,77085.0,24
558258,Star,Bachelor,Female,14,23434,23434.0,0,60544.0,24
300371,Aurora,Bachelor,Female,45,75764,75764.0,1457,74099.0,24
138896,Nova,Bachelor,Female,39,55600,55600.0,708,77116.0,24
834286,Star,College,Female,46,56006,56006.0,1475,73262.0,24
315361,Nova,Master,Female,39,56117,56117.0,1191,116743.0,24
126466,Nova,Bachelor,Male,38,51080,51080.0,2083,91817.0,24
178157,Aurora,College,Female,10,10845,10845.0,0,73262.0,24
849705,Star,Bachelor,Male,43,64970,64970.0,1002,61020.0,24
179719,Aurora,College,Male,32,41329,41329.0,419,73262.0,24
285636,Star,Bachelor,Female,18,28575,28575.0,593,88055.0,24
246775,Aurora,High School Or Below,Female,20,27912,27912.0,0,42956.0,24
294334,Star,Bachelor,Female,37,56512,56512.0,2417,77134.0,24
358012,Star,Bachelor,Female,45,61736,92604.0,0,73654.0,11
432579,Star,Master,Female,7,10804,10804.0,0,85959.0,24
277607,Nova,College,Male,0,0,0.0,0,73262.0,24
633938,Star,Bachelor,Male,41,55922,55922.0,0,52712.0,24
445432,Star,Bachelor,Male,42,68390,68390.0,1598,48183.0,24
986055,Aurora,High School Or Below,Female,40,62308,62308.0,0,41120.0,24
935161,Aurora,College,Male,49,76587,76587.0,482,73262.0,24
139682,Star,Bachelor,Male,0,0,0.0,0,50847.0,24
511302,Nova,Bachelor,Male,46,66693,66693.0,1393,93278.0,24
264308,Nova,Bachelor,Female,37,38528,38528.0,0,78549.0,24
379752,Star,Bachelor,Female,32,46010,46010.0,1750,83099.0,24
909385,Star,High School Or Below,Male,31,51905,51905.0,1755,44510.0,24
334192,Aurora,College,Male,0,0,0.0,0,73262.0,24
482938,Nova,Bachelor,Female,4,9464,9464.0,0,101352.0,24
125068,Star,Bachelor,Female,67,94402,141603.0,433,19464.0,11
150233,Nova,Bachelor,Female,12,19451,19451.0,1050,84015.0,24
936440,Nova,Bachelor,Female,19,23476,23476.0,0,58314.0,24
652636,Star,Doctor,Female,5,7408,7408.0,0,185468.0,24
565634,Nova,College,Female,0,0,0.0,0,73262.0,24
986126,Star,College,Female,0,0,0.0,0,73262.0,24
176521,Aurora,Bachelor,Female,59,64088,96132.0,1730,87122.0,11
884875,Aurora,Bachelor,Female,33,40770,40770.0,521,72742.0,24
883916,Star,Bachelor,Female,0,0,0.0,0,62440.0,24
626510,Aurora,Bachelor,Male,0,0,0.0,0,66498.0,24
486776,Aurora,Doctor,Male,43,51222,51222.0,736,276623.0,24
543901,Star,Bachelor,Female,43,63873,63873.0,2432,82587.0,24
504455,Star,College,Female,8,16922,16922.0,0,73262.0,24
696577,Nova,Bachelor,Female,25,51560,77340.0,1323,58713.0,11
953448,Nova,Bachelor,Male,46,74724,112086.0,0,63942.0,11
847312,Aurora,Bachelor,Male,9,19424,29136.0,1140,22313.0,11
873551,Star,College,Male,17,23401,33252.0,0,73262.0,11
834726,Nova,Doctor,Female,73,122513,132447.0,0,150772.0,11
647658,Star,Bachelor,Female,40,35064,52596.0,424,100159.0,11
941545,Nova,Bachelor,Female,27,45099,57348.0,973,66001.0,11
243557,Nova,College,Male,32,49393,49393.0,0,73262.0,24
465421,Star,Bachelor,Female,30,36711,36711.0,0,70675.0,24
280895,Star,College,Female,30,53319,53319.0,1529,73262.0,24
390880,Aurora,Bachelor,Female,34,52564,52564.0,0,86077.0,24
396155,Aurora,College,Female,39,64313,64313.0,547,73262.0,24
829505,Aurora,Bachelor,Female,33,48621,48621.0,1218,80107.0,24
516362,Star,Bachelor,Female,35,54580,54580.0,1502,79461.0,24
918053,Nova,Bachelor,Female,47,79781,79781.0,933,72792.0,24
183755,Nova,Bachelor,Male,38,60726,60726.0,721,54144.0,24
201292,Nova,Bachelor,Female,46,65695,65695.0,1028,103118.0,24
156879,Nova,High School Or Below,Female,20,26700,40050.0,0,60955.0,11
428919,Star,Bachelor,Female,35,54829,54829.0,0,58209.0,24
495473,Star,Bachelor,Female,42,65041,65041.0,0,80186.0,24
273357,Aurora,College,Female,42,65113,65113.0,575,73262.0,24
557640,Star,Bachelor,Female,40,62952,62952.0,994,98871.0,24
634850,Star,Bachelor,Female,46,76911,76911.0,1649,95798.0,24
171582,Aurora,Bachelor,Male,16,24313,24313.0,0,72440.0,24
462174,Nova,Bachelor,Male,56,81373,81373.0,1566,75335.0,24
401943,Nova,Bachelor,Female,0,0,0.0,0,98548.0,24
621006,Aurora,Bachelor,Male,47,80732,80732.0,378,54314.0,24
955087,Nova,Master,Female,28,41355,41355.0,0,111106.0,24
217616,Aurora,Bachelor,Male,8,16606,16606.0,0,95606.0,24
607117,Star,Bachelor,Male,31,52117,52117.0,721,73602.0,24
892022,Star,College,Female,46,65046,65046.0,1224,73262.0,24
533666,Star,College,Male,26,35052,35052.0,3271,73262.0,24
475233,Aurora,College,Female,31,47491,47491.0,1479,73262.0,24
835796,Star,Doctor,Female,48,69185,69185.0,553,254243.0,24
383912,Nova,Bachelor,Female,41,71006,71006.0,0,84819.0,24
124931,Aurora,Bachelor,Female,0,0,0.0,0,68956.0,24
284782,Aurora,Bachelor,Female,35,51739,51739.0,0,83960.0,24
337812,Star,Bachelor,Male,0,0,0.0,0,101631.0,24
317774,Star,Bachelor,Male,31,44389,44389.0,1485,82651.0,24
962011,Star,College,Female,39,67111,67111.0,1903,73262.0,24
413741,Star,College,Female,36,60555,60555.0,1965,73262.0,24
440939,Star,High School Or Below,Female,32,56666,56666.0,0,68812.0,24
436719,Star,College,Male,29,42953,42953.0,1098,73262.0,24
166693,Star,High School Or Below,Male,46,61114,61114.0,0,67054.0,24
404475,Star,Bachelor,Female,40,56647,56647.0,1143,72917.0,24
153586,Star,Bachelor,Female,48,68292,68292.0,546,60659.0,24
310534,Nova,Bachelor,Male,42,69228,69228.0,386,92025.0,24
163608,Star,College,Female,40,55254,55254.0,794,73262.0,24
153953,Aurora,Bachelor,Male,25,34418,34418.0,2188,53360.0,24
823740,Aurora,College,Female,32,48438,48438.0,1002,73262.0,24
266640,Aurora,College,Female,34,50040,50040.0,1017,73262.0,24
560714,Nova,College,Female,21,31598,31598.0,1493,73262.0,24
332983,Star,Bachelor,Male,27,29960,44940.0,0,101171.0,11
897835,Nova,High School Or Below,Female,39,53436,53436.0,934,67642.0,24
344039,Nova,Bachelor,Female,8,10090,10090.0,0,63899.0,24
550262,Star,High School Or Below,Male,20,26631,26631.0,649,44092.0,24
739684,Nova,Bachelor,Female,12,18294,18294.0,0,57835.0,24
311943,Star,Doctor,Male,28,45378,45378.0,1654,219184.0,24
576654,Star,Bachelor,Male,0,0,0.0,0,73051.0,24
240861,Nova,Bachelor,Female,0,0,0.0,0,92551.0,24
790940,Nova,Bachelor,Female,0,0,0.0,0,67261.0,24
221361,Aurora,High School Or Below,Male,0,0,0.0,0,42867.0,24
607993,Nova,Bachelor,Male,10,18304,18304.0,521,70540.0,24
482711,Nova,Doctor,Male,55,81276,81276.0,600,277965.0,24
137251,Aurora,College,Female,3,5286,5286.0,547,73262.0,24
598258,Aurora,Bachelor,Female,0,0,0.0,0,88759.0,24
316970,Star,Doctor,Male,6,9656,9656.0,0,74492.0,24
827546,Star,Bachelor,Female,47,57959,57959.0,1120,55849.0,24
557597,Star,Bachelor,Male,7,15031,15031.0,0,94365.0,24
944750,Star,College,Male,41,61455,61455.0,1086,73262.0,24
484504,Nova,Bachelor,Male,37,51021,51021.0,606,49491.0,24
603050,Nova,College,Female,10,12821,12821.0,1219,73262.0,24
991983,Nova,Bachelor,Male,3,4740,4740.0,0,54286.0,24
569677,Nova,Bachelor,Female,8,8500,12750.0,0,58273.0,11
596462,Star,College,Male,68,106264,159396.0,1193,73262.0,11
941865,Nova,College,Male,37,57475,57475.0,0,73262.0,24
763084,Nova,Bachelor,Female,31,43427,43427.0,0,60484.0,24
450865,Star,Bachelor,Male,48,75902,75902.0,1676,81901.0,24
672431,Star,Bachelor,Male,38,43925,43925.0,0,58867.0,24
985516,Nova,Bachelor,Female,34,59909,59909.0,485,49316.0,24
919329,Nova,Bachelor,Female,38,64378,64378.0,767,56601.0,24
947876,Star,Bachelor,Male,46,72531,72531.0,1445,101171.0,24
371152,Star,Bachelor,Male,42,65236,65236.0,2290,50183.0,24
686220,Nova,Master,Female,48,74728,74728.0,611,81333.0,24
125393,Star,Bachelor,Male,41,47264,47264.0,1516,47021.0,24
436874,Aurora,College,Male,40,59481,59481.0,1356,73262.0,24
405339,Nova,Bachelor,Female,32,42137,42137.0,1572,99444.0,24
369035,Nova,Bachelor,Female,44,64362,64362.0,912,64417.0,24
652790,Star,Bachelor,Female,25,29964,29964.0,0,55130.0,24
642449,Star,College,Female,24,37067,37067.0,494,73262.0,24
111286,Nova,Bachelor,Female,32,49103,49103.0,332,55923.0,24
561620,Star,Bachelor,Female,34,55462,55462.0,0,85295.0,24
846046,Nova,Bachelor,Male,34,55340,55340.0,740,62108.0,24
282140,Star,Bachelor,Male,54,83573,122745.0,745,53481.0,11
924056,Star,Bachelor,Female,49,64968,64968.0,752,69367.0,24
528492,Star,Bachelor,Male,41,79740,79740.0,821,60360.0,24
618830,Nova,Bachelor,Female,61,77881,77881.0,644,82599.0,24
921624,Nova,Bachelor,Male,7,14435,14435.0,0,89345.0,24
853003,Star,Bachelor,Male,4,6628,6628.0,0,58725.0,24
105073,Aurora,College,Male,52,43874,50718.0,0,73262.0,11
922347,Nova,Bachelor,Male,18,32257,32257.0,572,48103.0,24
690916,Nova,Doctor,Female,40,59701,59701.0,1673,269631.0,24
969810,Star,Bachelor,Female,34,47000,47000.0,1061,64001.0,24
877384,Aurora,Bachelor,Male,44,70111,70111.0,1953,64592.0,24
673399,Star,Bachelor,Male,40,51313,51313.0,370,74158.0,24
492496,Star,Bachelor,Female,57,97617,97617.0,2093,49371.0,24
968671,Nova,Bachelor,Female,38,45252,45252.0,1369,71134.0,24
374850,Star,Bachelor,Female,38,56545,56545.0,1029,64821.0,24
533539,Nova,College,Male,37,43905,43905.0,1361,73262.0,24
